time,battery_current,soc,solarCurrent,solarVoltage,battery_voltage,solar_power
3.4,25.01646984,37.12358611,0.75022876,27.46859356,12.76848099,20.58821534
3.5,25.335828,37.12295786,0.722634419,28.52278931,12.76761837,20.63163372
3.6,25.28039402,37.12232411,0.581724693,28.779832,12.76715598,16.74879707
3.7,25.07537451,37.12168537,0.5815573,28.78656111,12.76701239,16.74808974
3.8,24.92449162,37.12104295,0.58461432,28.6587533,12.76690591,16.75776613
3.9,24.73424587,37.12039781,0.589706617,28.4188666,12.76692232,16.75618466
4,24.96063375,37.11975066,0.594286969,28.16538036,12.76649373,16.73021612
0,-1.40625E-09,41.9729207,8.024830487,0.004814898,0,0
0.1,16.59526654,41.97285689,7.961734321,16.39685671,12.85442557,129.5817922
0.2,15.54697924,41.97269566,7.950304307,18.73065727,12.84936753,147.0302881
0.3,14.18748604,41.97247083,7.911718772,21.77538077,12.84708577,169.303412
0.4,12.76048735,41.97220959,7.549571201,25.82267772,12.84681885,193.2355518
0.5,12.68487514,41.97193113,7.284446281,26.76741198,12.84592316,195.2731509
0.6,12.62641369,41.97164216,7.284980829,26.76587766,12.84527436,195.2719937
0.7,12.51979856,41.97134542,7.304006566,26.71055142,12.84487053,195.2389672
0.8,12.3972657,41.97104295,7.349329687,26.57273841,12.84462478,195.0803658
0.9,12.46625016,41.97073623,7.376057629,26.48708229,12.84425157,194.9198665
1,12.60883421,41.97042637,7.370500051,26.50518126,12.8438647,194.9505217
1.1,14.79902329,41.97010565,5.936893703,27.16662151,12.83979253,160.7362859
1.2,15.20615698,41.96976948,5.795413976,27.72544929,12.8382444,161.2195875
1.3,14.63356148,41.96942192,5.852519919,27.51846307,12.83815141,161.1578093
1.4,14.80250853,41.96906593,5.939574092,27.15432896,12.83737596,160.7149083
1.5,15.24542086,41.96870371,5.819099097,27.64216407,12.83641249,161.2105943
1.6,17.35964398,41.96832746,4.472833625,27.76799928,12.83213995,123.7652484
1.7,17.86696637,41.9679325,4.343247688,28.49325196,12.83024558,124.2057767
1.8,17.08306818,41.96752373,4.443170158,27.96134844,12.8302449,124.0101591
1.9,17.93333327,41.96710475,4.409734019,28.15699579,12.82852427,124.1643025
2,17.20765343,41.96667821,4.359163248,28.41812177,12.82887097,124.2309532
2.1,20.35331113,41.96623571,2.881177652,29.17447155,12.82314029,84.37477559
2.2,20.79693577,41.96577223,2.911396876,28.95960053,12.82117922,84.4799234
2.3,20.71955739,41.96529327,2.980719936,28.33267048,12.82021983,84.26134966
2.4,19.91893479,41.96480286,2.995408775,28.16361379,12.82039641,84.09365199
2.5,19.75692021,41.96430399,2.940082259,28.72746794,12.82000162,84.48202923
2.6,24.14599524,41.96378765,1.476655326,28.5096608,12.81260095,42.09190233
2.7,22.68706285,41.96324822,1.475102866,28.53882685,12.81277233,42.0950089
2.8,24.03914253,41.96269175,1.469202637,28.6450869,12.80998154,42.09919146
2.9,22.66609739,41.96212267,1.48202173,28.40455576,12.81076638,42.07406707
3,23.98585494,41.96154427,1.463638102,28.73926093,12.80853851,42.09305811
3.1,25.26370326,41.96095327,0.743021971,27.81925119,12.80566592,20.6612954
3.2,24.52777704,41.96034769,0.727255025,28.38877644,12.80554037,20.65946248
3.3,25.20840373,41.95973132,0.743836679,27.78333639,12.80399041,20.6560628
3.4,24.55699533,41.95910697,0.725347599,28.44549229,12.80421337,20.64914327
3.5,25.17514277,41.95847671,0.744491699,27.75384982,12.80307331,20.65135746
3.6,25.40693055,41.95784096,0.581426291,28.79180707,12.8023174,16.74752259
3.7,24.8146945,41.95720022,0.594796796,28.13438162,12.80269289,16.7255241
3.8,25.49276126,41.95655582,0.583935877,28.68805267,12.80161606,16.7562342
3.9,24.73402487,41.95590868,0.591102563,28.34596287,12.80234087,16.75109205
4,25.52771278,41.95525954,0.586913914,28.55505224,12.80124294,16.76007778
0,-1.40625E-09,46.80851064,8.024830487,0.004814898,0,0
0.1,16.65951504,46.80844665,7.961626352,16.42412947,12.87818232,129.7881464
0.2,15.61128352,46.80828494,7.95011586,18.75990323,12.87375777,147.253947
0.3,14.25346994,46.80805939,7.910922235,21.80813027,12.87186323,169.5459361
0.4,12.83789786,46.80779724,7.541512405,25.85893369,12.87177327,193.3648248
0.5,12.46483256,46.80751764,7.324855752,26.64825309,12.87131887,195.1764333
0.6,12.78613036,46.8072273,7.370020789,26.50673478,12.87027752,194.9523329
0.7,12.81595208,46.80692903,7.258252516,26.84130871,12.8697511,195.3152348
0.8,12.42674486,46.80662489,7.365174092,26.52238127,12.86985902,195.0045591
0.9,12.78818711,46.80631641,7.37042773,26.50541576,12.86915959,194.9500302
1,12.84375762,46.80600471,7.268631188,26.81232577,12.86889201,195.3015398
1.1,14.73200924,46.80568215,5.880366834,27.40918024,12.86533215,161.0680936
1.2,14.90305054,46.80534413,5.920753021,27.23902909,12.86418335,160.8534665
1.3,15.3193431,46.80499471,5.832672184,27.59284243,12.8629813,161.1934575
1.4,14.83432772,46.80463685,5.819648149,27.6401922,12.86304287,161.2110383
1.5,14.81479017,46.80427276,5.915438824,27.26228669,12.86268653,160.887995
1.6,17.59918905,46.80389461,4.454459016,27.89020386,12.85778472,123.9294851
1.7,17.85319844,46.80349778,4.33709577,28.52150585,12.85633012,124.2006001
1.8,17.20488925,46.80308716,4.42351639,28.07888677,12.85626506,124.1179337
1.9,17.777797,46.80266635,4.440737348,27.97631898,12.85495347,124.0184359
2,17.53784052,46.802238,4.336791646,28.52289167,12.85477042,124.1998063
2.1,20.3626505,46.80179372,2.870755601,29.24283628,12.84963001,84.31824848
2.2,20.87743994,46.80132847,2.892222097,29.09898429,12.84773018,84.42388384
2.3,20.97951522,46.80084773,2.95812916,28.56339584,12.84666297,84.421873
2.4,20.38247304,46.80035553,2.999746306,28.11023298,12.84667946,84.03271353
2.5,19.8220153,46.79985486,2.981341349,28.32585403,12.84682689,84.255363
2.6,24.31568154,46.79933675,1.467472347,28.67496374,12.839518,42.09827684
2.7,22.5806332,46.79879556,1.489465747,28.24631664,12.84018965,42.02881497
2.8,24.1276771,46.79823733,1.444150972,29.03156401,12.8372777,42.00843526
2.9,22.82663607,46.79766649,1.503378329,27.90063112,12.83807607,41.86255361
3,23.7652806,46.79708633,1.426572324,29.25659957,12.83635943,41.86614658
3.1,25.0610622,46.7964936,0.750924765,27.43015485,12.83361857,20.57745223
3.2,25.02844078,46.79588633,0.721088794,28.56517911,12.83274909,20.62027623
3.3,24.80976335,46.79526829,0.750912154,27.43085978,12.83236192,20.5776541
3.4,25.1915445,46.79464229,0.722207168,28.53462185,12.83139907,20.62859101
3.5,24.55780241,46.79401038,0.749549932,27.50519367,12.83180718,20.59799377
3.6,25.6326968,46.793373,0.595177681,28.11080617,12.83008661,16.72174975
3.7,25.54779058,46.79273064,0.582357732,28.75411349,12.82988281,16.75129337
3.8,24.86992368,46.79208462,0.583552256,28.70437504,12.83046864,16.75520703
3.9,25.56718957,46.79143588,0.595875181,28.06666827,12.82947005,16.71421617
4,25.53416411,46.79078513,0.581919555,28.77196122,12.82937464,16.74959577
0,-1.40625E-09,51.64410058,8.024830487,0.004814898,0,0
0.1,16.71469943,51.64403645,7.961549998,16.44336212,12.89749069,129.9310731
